date,amt,category_EROGAZIONE FINANZIAMENTO,category_INCASSO FATTURA,category_PAGAMENTO FATTURA,category_PAGAMENTO FORNITORI,category_RIMBORSO FINANZIAMENTO,category_STIPENDI,category_UTENZE
2022-10-18,-850.85,0,0,0,0,0,0,1
2022-10-19,11266.67,0,1,0,0,0,0,0
2022-10-19,-8234.0,0,0,0,1,0,0,0
2022-10-28,11466.67,0,1,0,0,0,0,0
2022-10-28,-8384.0,0,0,0,1,0,0,0
2022-11-06,11666.67,0,1,0,0,0,0,0
2022-11-06,-8534.0,0,0,0,1,0,0,0
2022-11-15,-8000.0,0,0,1,0,0,0,0
2022-11-15,11866.67,0,1,0,0,0,0,0
2022-11-15,-8684.0,0,0,0,1,0,0,0
2022-11-15,-1700.0,0,0,0,0,1,0,0
2022-11-16,-858.4,0,0,0,0,0,0,1
2022-11-24,12066.67,0,1,0,0,0,0,0
2022-11-24,-8834.0,0,0,0,1,0,0,0
2022-12-03,12266.67,0,1,0,0,0,0,0
2022-12-03,-8984.0,0,0,0,1,0,0,0
2022-12-12,12466.67,0,1,0,0,0,0,0
2022-12-12,-9134.0,0,0,0,1,0,0,0
2022-12-15,-8000.0,0,0,1,0,0,0,0
2022-12-15,-1700.0,0,0,0,0,1,0,0
2022-12-21,12666.67,0,1,0,0,0,0,0
2022-12-21,-9284.0,0,0,0,1,0,0,0
2022-12-30,12866.67,0,1,0,0,0,0,0
2022-12-30,-9434.0,0,0,0,1,0,0,0
